geography_level,GEOID,GEOIDFQ,NAMELSAD,point_count,industry_code_count,total_employee_count,total_revenue,revenue_record_count
census_designated_place,5400196,1600000US5400196,Accoville CDP,9,8,60,1106000,2
census_designated_place,5400460,1600000US5400460,Adrian CDP,7,6,43,1292000,3
census_designated_place,5401396,1600000US5401396,Alum Creek CDP,46,31,261,19775000,29
census_designated_place,5418604,1600000US5418604,Craigsville CDP,81,46,544,79868000,59
census_designated_place,5435596,1600000US5435596,Harts CDP,28,21,181,13423000,19
census_designated_place,5444188,1600000US5444188,Kistler CDP,8,8,22,2156000,5
census_designated_place,5457916,1600000US5457916,Neibert CDP,2,2,4,691000,2
census_designated_place,5466460,1600000US5466460,Rachel CDP,2,2,2,,0
census_designated_place,5401660,1600000US5401660,Amherstdale CDP,9,9,44,5112000,3
census_designated_place,5410876,1600000US5410876,Bruno CDP,4,3,6,,0
census_designated_place,5442292,1600000US5442292,Justice CDP,21,19,74,20483000,15
census_designated_place,5402188,1600000US5402188,Apple Grove CDP,14,13,98,3972000,6
census_designated_place,5446420,1600000US5446420,Lesage CDP,38,33,1061,95413000,25
census_designated_place,5402260,1600000US5402260,Arbovale CDP,8,8,28,4787000,6
census_designated_place,5402908,1600000US5402908,Arthurdale CDP,30,26,296,11194000,17
census_designated_place,5423524,1600000US5423524,East View CDP,17,14,76,9774000,14
census_designated_place,5403460,1600000US5403460,Aurora CDP,17,17,54,5887000,12
census_designated_place,5411620,1600000US5411620,Burlington CDP,21,17,242,9150000,12
census_designated_place,5462788,1600000US5462788,Pentress CDP,5,5,59,9109000,2
census_designated_place,5404732,1600000US5404732,Bartley CDP,3,3,2,,0
census_designated_place,5404780,1600000US5404780,Bartow CDP,5,5,5,774000,1
census_designated_place,5413684,1600000US5413684,Cass CDP,10,8,153,1971000,5
census_designated_place,5433124,1600000US5433124,Green Bank CDP,24,22,142,10712000,14
census_designated_place,5439412,1600000US5439412,Huntersville CDP,4,4,9,615000,2
census_designated_place,5404900,1600000US5404900,Baxter CDP,3,3,9,,0
census_designated_place,5409148,1600000US5409148,Booth CDP,2,2,20,63000,1
census_designated_place,5405068,1600000US5405068,Beards Fork CDP,3,3,13,393000,1
census_designated_place,5437036,1600000US5437036,Hico CDP,15,14,111,35434000,10
census_designated_place,5443852,1600000US5443852,Kincaid CDP,4,4,9,1064000,2
census_designated_place,5405260,1600000US5405260,Beaver CDP,59,32,438,76940000,41
census_designated_place,5409676,1600000US5409676,Bradley CDP,48,35,273,63376000,31
census_designated_place,5416516,1600000US5416516,Coal City CDP,19,15,174,20207000,10
census_designated_place,5418508,1600000US5418508,Crab Orchard CDP,73,55,488,101273000,54
census_designated_place,5420164,1600000US5420164,Daniels CDP,72,44,505,51022000,51
census_designated_place,5449564,1600000US5449564,MacArthur CDP,67,51,987,194649000,47
census_designated_place,5463988,1600000US5463988,Piney View CDP,10,9,42,22963000,7
census_designated_place,5465836,1600000US5465836,Prosperity CDP,118,68,1149,198010000,91
census_designated_place,5406052,1600000US5406052,Belva CDP,3,3,11,,0
census_designated_place,5407756,1600000US5407756,Birch River CDP,24,17,131,19891000,16
census_designated_place,5427196,1600000US5427196,Fenwick CDP,2,2,2,,0
census_designated_place,5458180,1600000US5458180,Nettie CDP,16,14,65,5539000,9
census_designated_place,5406436,1600000US5406436,Bergoo CDP,2,2,1,,0
census_designated_place,5414630,1600000US5414630,Charlton Heights CDP,9,9,16,709000,4
census_designated_place,5441010,1600000US5441010,Jefferson CDP,50,44,421,170678000,36
census_designated_place,5406748,1600000US5406748,Berwind CDP,5,5,6,66000,1
census_designated_place,5419492,1600000US5419492,Cucumber CDP,2,2,2,,0
census_designated_place,5407204,1600000US5407204,Big Chimney CDP,41,37,242,41943000,32
census_designated_place,5407228,1600000US5407228,Big Creek CDP,3,3,10,988000,1
