geography_level,GEOID,GEOIDFQ,NAMELSAD,point_count,industry_code_count,total_employee_count,total_revenue,revenue_record_count
census_tract,54001965500,1400000US54001965500,Census Tract 9655,32,23,109,8872000,20
census_tract,54001965600,1400000US54001965600,Census Tract 9656,197,93,1888,174677000,113
census_tract,54001965700,1400000US54001965700,Census Tract 9657,57,46,650,47697000,39
census_tract,54001965800,1400000US54001965800,Census Tract 9658,105,59,729,117625000,61
census_tract,54003971101,1400000US54003971101,Census Tract 9711.01,150,76,1694,235854000,112
census_tract,54003971103,1400000US54003971103,Census Tract 9711.03,30,23,175,19713000,22
census_tract,54003971104,1400000US54003971104,Census Tract 9711.04,36,30,117,14925000,26
census_tract,54003971105,1400000US54003971105,Census Tract 9711.05,64,43,346,49353000,48
census_tract,54003971205,1400000US54003971205,Census Tract 9712.05,102,70,805,74765000,72
census_tract,54003971206,1400000US54003971206,Census Tract 9712.06,105,68,815,125905000,81
census_tract,54003971301,1400000US54003971301,Census Tract 9713.01,404,168,6605,662712000,275
census_tract,54003971302,1400000US54003971302,Census Tract 9713.02,57,43,223,40136000,46
census_tract,54003971401,1400000US54003971401,Census Tract 9714.01,45,31,256,19873000,32
census_tract,54003971802,1400000US54003971802,Census Tract 9718.02,47,37,287,28407000,36
census_tract,54003971203,1400000US54003971203,Census Tract 9712.03,59,40,403,17523000,40
census_tract,54003971204,1400000US54003971204,Census Tract 9712.04,43,27,418,30302000,33
census_tract,54003971402,1400000US54003971402,Census Tract 9714.02,103,66,656,68660000,80
census_tract,54003971801,1400000US54003971801,Census Tract 9718.01,39,30,207,7639000,25
census_tract,54003971500,1400000US54003971500,Census Tract 9715,213,113,1700,180898000,137
census_tract,54003971600,1400000US54003971600,Census Tract 9716,303,125,4771,313572000,205
census_tract,54003971700,1400000US54003971700,Census Tract 9717,463,180,4971,624462000,325
census_tract,54003971901,1400000US54003971901,Census Tract 9719.01,161,100,1933,556095000,130
census_tract,54003971902,1400000US54003971902,Census Tract 9719.02,118,74,1071,93060000,84
census_tract,54003972001,1400000US54003972001,Census Tract 9720.01,68,47,621,53423000,47
census_tract,54003972002,1400000US54003972002,Census Tract 9720.02,49,39,343,80516000,38
census_tract,54003972003,1400000US54003972003,Census Tract 9720.03,57,49,357,42677000,41
census_tract,54003972101,1400000US54003972101,Census Tract 9721.01,65,49,231,29781000,44
census_tract,54003972103,1400000US54003972103,Census Tract 9721.03,96,63,777,63051000,60
