geography_level,GEOID,GEOIDFQ,NAMELSAD,point_count,industry_code_count,total_employee_count,total_revenue,revenue_record_count
county,54075,0500000US54075,Pocahontas County,501,149,5321,454423000,299
county,54079,0500000US54079,Putnam County,1843,357,19540,5005881000,1298
county,54103,0500000US54103,Wetzel County,552,179,4357,432004000,330
county,54005,0500000US54005,Boone County,542,150,6140,752956000,285
county,54011,0500000US54011,Cabell County,3637,445,51195,8540095000,2573
county,54051,0500000US54051,Marshall County,868,226,8101,1210180000,521
county,54035,0500000US54035,Jackson County,834,236,9042,1073304000,547
county,54061,0500000US54061,Monongalia County,4262,438,62676,7418657000,3033
county,54057,0500000US54057,Mineral County,807,231,8235,920531000,491
county,54029,0500000US54029,Hancock County,908,246,9633,1430431000,592
county,54077,0500000US54077,Preston County,977,246,7683,873973000,604
county,54031,0500000US54031,Hardy County,614,189,5899,784115000,393
county,54107,0500000US54107,Wood County,3257,420,36832,6647840000,2281
county,54101,0500000US54101,Webster County,221,90,1866,251559000,116
county,54027,0500000US54027,Hampshire County,691,201,5303,425296000,400
county,54047,0500000US54047,McDowell County,561,121,3758,331283000,253
county,54033,0500000US54033,Harrison County,2668,377,31859,4654761000,1817
county,54001,0500000US54001,Barbour County,391,146,3376,348871000,233
county,54093,0500000US54093,Tucker County,346,130,2633,243004000,172
county,54015,0500000US54015,Clay County,196,84,1347,194981000,96
county,54045,0500000US54045,Logan County,1050,219,9594,1526994000,632
county,54073,0500000US54073,Pleasants County,219,110,2173,440400000,126
county,54019,0500000US54019,Fayette County,1285,264,10673,946621000,724
county,54037,0500000US54037,Jefferson County,1716,322,14831,1664990000,1124
county,54055,0500000US54055,Mercer County,2100,344,21238,4074659000,1395
county,54109,0500000US54109,Wyoming County,647,164,4937,480548000,361
county,54007,0500000US54007,Braxton County,463,159,3752,530803000,287
county,54087,0500000US54087,Roane County,361,146,3398,361870000,219
county,54023,0500000US54023,Grant County,402,159,3327,372103000,260
county,54063,0500000US54063,Monroe County,333,139,2397,288875000,197
county,54017,0500000US54017,Doddridge County,157,73,1151,273479000,71
county,54105,0500000US54105,Wirt County,123,64,749,78385000,60
county,54095,0500000US54095,Tyler County,232,98,2031,154496000,117
county,54025,0500000US54025,Greenbrier County,1725,305,13479,1546596000,1105
county,54085,0500000US54085,Ritchie County,338,135,2762,914127000,214
county,54083,0500000US54083,Randolph County,1139,271,13691,1908462000,712
county,54049,0500000US54049,Marion County,1914,345,18531,2584580000,1271
county,54071,0500000US54071,Pendleton County,333,124,1935,245748000,199
county,54089,0500000US54089,Summers County,410,149,3030,411411000,237
county,54003,0500000US54003,Berkeley County,3057,410,30906,3536881000,2163
county,54097,0500000US54097,Upshur County,871,254,8758,1002877000,601
county,54091,0500000US54091,Taylor County,389,161,3775,549879000,247
county,54081,0500000US54081,Raleigh County,2998,398,33487,5785568000,2053
county,54067,0500000US54067,Nicholas County,883,227,7178,1113529000,574
county,54053,0500000US54053,Mason County,629,197,6909,1015511000,365
county,54021,0500000US54021,Gilmer County,204,99,1884,244969000,108
county,54009,0500000US54009,Brooke County,738,198,7777,1293077000,469
county,54013,0500000US54013,Calhoun County,189,84,1353,169690000,103
county,54043,0500000US54043,Lincoln County,365,119,2436,279752000,210
county,54069,0500000US54069,Ohio County,2391,375,32948,7504614000,1589
county,54065,0500000US54065,Morgan County,564,197,3811,328726000,353
county,54039,0500000US54039,Kanawha County,7599,510,119070,18447025000,4912
county,54041,0500000US54041,Lewis County,595,199,5943,767583000,383
county,54059,0500000US54059,Mingo County,642,159,3834,480738000,339
county,54099,0500000US54099,Wayne County,807,218,9799,1007055000,506
