geography_level,GEOID,GEOIDFQ,NAMELSAD,point_count,industry_code_count,total_employee_count,total_revenue,revenue_record_count
incorporated_place,5400364,1600000US5400364,Addison (Webster Springs) town,78,45,608,34512000,34
incorporated_place,5400748,1600000US5400748,Albright town,20,18,80,4260000,12
incorporated_place,5400772,1600000US5400772,Alderson town,68,44,242,22354000,39
incorporated_place,5401780,1600000US5401780,Anawalt town,3,3,3,,0
incorporated_place,5401900,1600000US5401900,Anmoore town,33,29,302,34513000,22
incorporated_place,5401996,1600000US5401996,Ansted town,53,34,327,20848000,23
incorporated_place,5403292,1600000US5403292,Athens town,44,31,470,39336000,20
incorporated_place,5403364,1600000US5403364,Auburn town,3,3,2,,0
incorporated_place,5404204,1600000US5404204,Bancroft town,6,6,31,72000,1
incorporated_place,5404276,1600000US5404276,Barboursville village,459,151,7086,1012882000,356
incorporated_place,5404612,1600000US5404612,Barrackville town,23,17,117,6756000,11
incorporated_place,5404876,1600000US5404876,Bath (Berkeley Springs) town,161,88,1123,84255000,100
incorporated_place,5404924,1600000US5404924,Bayard town,7,7,32,1100000,4
incorporated_place,5405332,1600000US5405332,Beckley city,1324,278,15384,2522557000,918
incorporated_place,5405452,1600000US5405452,Beech Bottom village,17,13,226,14458000,5
incorporated_place,5405788,1600000US5405788,Belington town,80,55,469,112919000,53
incorporated_place,5405836,1600000US5405836,Belle town,29,19,617,563210000,14
incorporated_place,5406004,1600000US5406004,Belmont city,34,33,475,68937000,18
incorporated_place,5406340,1600000US5406340,Benwood city,63,35,648,101851000,34
incorporated_place,5406844,1600000US5406844,Bethany town,17,11,87,2436000,5
incorporated_place,5406940,1600000US5406940,Bethlehem village,70,48,378,43336000,49
incorporated_place,5406988,1600000US5406988,Beverly town,29,28,1129,137225000,18
incorporated_place,5408092,1600000US5408092,Blacksville town,12,12,49,3228000,5
incorporated_place,5408524,1600000US5408524,Bluefield city,477,201,5403,1175437000,336
incorporated_place,5408932,1600000US5408932,Bolivar town,47,38,291,20762000,34
incorporated_place,5409700,1600000US5409700,Bradshaw town,28,23,243,6411000,14
incorporated_place,5409796,1600000US5409796,Bramwell town,18,15,68,1514000,5
incorporated_place,5409844,1600000US5409844,Brandonville town,2,2,13,198000,2
incorporated_place,5410180,1600000US5410180,Bridgeport city,739,212,10110,1168925000,563
incorporated_place,5410852,1600000US5410852,Bruceton Mills town,20,18,240,47459000,14
incorporated_place,5411188,1600000US5411188,Buckhannon city,467,185,5134,461360000,313
incorporated_place,5411284,1600000US5411284,Buffalo town,34,28,285,28288000,18
incorporated_place,5411716,1600000US5411716,Burnsville town,28,24,121,12914000,15
incorporated_place,5412124,1600000US5412124,Cairo town,10,10,44,1956000,4
incorporated_place,5412436,1600000US5412436,Camden-on-Gauley town,3,2,6,,0
incorporated_place,5412484,1600000US5412484,Cameron city,52,36,225,11324000,22
incorporated_place,5413108,1600000US5413108,Capon Bridge town,50,40,293,28271000,31
incorporated_place,5413525,1600000US5413525,Carpendale town,6,6,16,838000,4
incorporated_place,5413924,1600000US5413924,Cedar Grove town,23,18,241,10571000,12
incorporated_place,5414308,1600000US5414308,Ceredo city,65,47,663,35399000,41
incorporated_place,5414524,1600000US5414524,Chapmanville town,130,69,920,131982000,91
incorporated_place,5414600,1600000US5414600,Charleston city,3894,403,75959,9471370000,2416
incorporated_place,5414610,1600000US5414610,Charles Town city,347,136,2626,233238000,222
incorporated_place,5415028,1600000US5415028,Chesapeake town,21,19,122,12268000,10
incorporated_place,5415076,1600000US5415076,Chester city,96,55,809,65258000,61
incorporated_place,5415628,1600000US5415628,Clarksburg city,827,240,9607,1606158000,516
incorporated_place,5415676,1600000US5415676,Clay town,91,51,775,106851000,43
incorporated_place,5415916,1600000US5415916,Clearview village,5,4,95,2487000,3
incorporated_place,5416012,1600000US5416012,Clendenin town,40,30,198,19016000,22
incorporated_place,5418412,1600000US5418412,Cowen town,40,31,249,19214000,23
incorporated_place,5420212,1600000US5420212,Danville town,71,45,1084,71462000,49
incorporated_place,5420428,1600000US5420428,Davis town,34,25,188,13400000,17
